Ime,Familiya,Imeyl adres,Fakulteten nomer
Peter,Ivanov,peter@mail.bg,81235
Alexander,Popov,popov@abv.bg,81234
Stefan,Velikov,velikov@mail.bg,81876
Krasimir,Petkov,krasi@abv.bg,81234
Stefani,Angelova,stef@gmail.com,81876
Ivana,Marinova,ivana@abv.bg,81321
Stefan,Velkov,stefan@yahoo.com,80000
Krasimira,Markova,krasi@mail.bg,81234
Wladimir,Klitschko,wlad@kiev.com,89999
Filip,Filchev,fkfilchev@gmail.com,0600041
Drago,Cankov,drago123@abv.bg,62589
Petar,Kovachev,pepieqk@gmail.com,78945
Georgi,Dimitrov,gogo@gmail.com,96321
Viktoriya,Georgieva,vikigeorg566@abv.bg,12369
Teodor,Todorov,tedit@abv.bg,14324
Denis,Cankov,denic@abv.bg,58743
